"","Subfamily","Tribe","Genus","Species","Sex","Abundance","SU","Strata","Trap","Date","Month","CMR","Obs","Lep"
"137","Satyrinae","Satyrini","Carminda","Carminda_paeon","F",1,"NF5","Canopy","Can2","12/12/2016","December","50","",""
"138","Satyrinae","Satyrini","Carminda","Carminda_paeon","F",1,"NF5","Canopy","Can2","12/12/2016","December","51","",""
"139","Satyrinae","Satyrini","Carminda","Carminda_paeon","M",1,"NF5","Canopy","Can2","12/12/2016","December","52","",""
"140","Satyrinae","Satyrini","Carminda","Carminda_paeon","M",1,"NF5","Canopy","Can2","12/12/2016","December","53","",""
"141","Biblidinae","Epiphilini","Epiphile","Epiphile_hubneri","M",1,"NF5","Canopy","Can3","12/12/2016","December","","Voucher","205"
"142","Satyrinae","Satyrini","Carminda","Carminda_paeon","M",1,"NF5","Canopy","Can3","12/12/2016","December","","Dead",""
"143","Satyrinae","Satyrini","Carminda","Carminda_paeon","F",1,"NF5","Canopy","Can5","12/12/2016","December","54","",""
"144","Satyrinae","Satyrini","Carminda","Carminda_paeon",NA,1,"NF5","Canopy","Can5","12/12/2016","December","","Dead",""
"145","Charaxinae","Preponini","Archaeoprepona","Archaeoprepona_amphimachus","M",1,"NF4","Canopy","Can1","12/12/2016","December","55","",""
"146","Satyrinae","Satyrini","Carminda","Carminda_paeon","M",1,"NF4","Canopy","Can3","12/12/2016","December","56","",""
"147","Satyrinae","Satyrini","Carminda","Carminda_paeon","M",1,"NF4","Canopy","Can3","12/12/2016","December","","Dead",""
"148","Satyrinae","Satyrini","Carminda","Carminda_paeon","M",1,"NF4","Canopy","Can4","12/12/2016","December","","Dead",""
"149","Satyrinae","Satyrini","Carminda","Carminda_paeon","F",1,"NF4","Canopy","Can5","12/12/2016","December","","Dead",""
"151","Satyrinae","Morphini","Morpho","Morpho_portis",NA,1,"NF3","Understory","Und5","12/11/2016","December","","Next_trap",""
"152","Satyrinae","Satyrini","Carminda","Carminda_paeon","M",1,"NF1","Canopy","Can1","12/13/16","December","","",""
"153","Satyrinae","Satyrini","Carminda","Carminda_paeon","F",1,"NF1","Canopy","Can2","12/13/16","December","57","",""
"154","Satyrinae","Satyrini","Carminda","Carminda_paeon","F",1,"NF1","Canopy","Can2","12/13/16","December","58","",""
